,PropertyID,Address ,Building Name,Suite,City,State,Postal Code,Market ,Sub Market Cluster,Sub Market,Micro Market,Property Type,Building Type,Building Sub Type,Building Sub Specialty,Building Class,Building Sub Class,Building Status,Space Type,Availability Type,Space Condition,Build Out Condition,Condition,Floors,Is Available,Is Vacant,Is Full Floor?,Is Full Building?,Is Divisibile?,View Space,Min Available s.f.,Max Available s.f.,Rent Low,Rent High,Rent Type,Sale Price,Floor Contig s.f.,Large Block (Bldg Contig) s.f.,Calculated Bldg Contig s.f.,Bldg Contig Rent,Operating Expenses p.s.f.,Taxes p.s.f.,Common Area Maintenance p.s.f.,Date on Market,Vacating Tenant Company,Date Vacant,New Tenant,Move In Date,Earliest Move In Timing,Earliest Move in Date,Minimum Lease Term Months,Maximum Lease Term Months,In Statistics?,Sublessor Company,Listing Broker Company,Amenities,Amenity Comments,Building Size,Building Primary Owner,Column Spacing Width,Column Spacing Depth,Building Location
0,27960,1 Corporate Dr,One Corporate,100,Long Grove,Illinois,60047,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Partial Build-Out,,1st,No,No,No,No,No,,"7,238","7,238",$28.00,$33.00,Full Service Gross,,"7,238","7,238","3,243",,,,,4-15-2019,,,,12-31-2019,Specific Date,8-1-2019,,,Yes,,Lincoln Property Company,,,"420,580",Apollo Global Management,,,
4,27965,1 Mid America Plz,One Mid America,110,Oakbrook Terrace,Illinois,60181,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,For Lease,,Partial Build-Out,,1st,No,No,No,No,No,,"1,079","1,079",$38.44,$41.44,N,,"1,079","1,079","23,704",,,,,2-22-2019,,,,4-7-2019,,,,,Yes,,Avison Young,,,"204,630",Equus Capital Partners,,,
14,3136,1 N Franklin St,PNC Centre at One North Franklin,310,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,3rd,Yes,Yes,No,No,No,,"1,212","1,212",$20.00,$21.00,N,,"1,212","1,212","18,807",$23.00,,,,8-28-2018,,,,,Specific Date,12-1-2018,0.0,0.0,Yes,,,,,"634,747",New York Common Retirement Fund,,,
40,27968,1 Overlook Pt,One Overlook Point,242,Lincolnshire,Illinois,60069,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,No,No,No,No,No,,257,257,$31.75,$32.75,Modified Gross,,,,"37,703",,,,,1-16-2019,,,,2-16-2019,,,,,Yes,,Van Vissingen and Company,,,"206,626",Van Vlissingen & Company,,,
53,27969,1 Parkview Plz,Parkview Plaza,,Oakbrook Terrace,Illinois,60181,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Sublet,For Lease,,,,1st,No,No,No,No,No,,"1,984","1,984",$33.00,$37.00,Modified Gross,,"1,984","1,984","30,448",,,,,2-25-2019,,,,3-25-2019,,,,,Yes,,,,,"264,162",Hamilton Partners,,,
69,27970,1 Parkway N,One Parkway North,100S,Deerfield,Illinois,60015,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Spec,,1st,Yes,Yes,No,No,No,,"5,164","5,164",$18.50,$21.50,N,,"5,164","5,164","9,498",$21.00,,,,6-17-2002,,,,,Vacant,,36.0,120.0,Yes,,Colliers International,,,"271,500",KAWA Capital Management,,,
75,27971,1 Pierce Pl,One Pierce Place,295E,Itasca,Illinois,60143,Chicago,Suburban,Northwest,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,2nd,Yes,Yes,No,No,No,,"2,949","2,949",$61.69,$62.69,Full Service Gross,,,"2,949","32,838",,,,,11-14-2018,,,,,Vacant,,,,Yes,,Hamilton Partners,,,"578,737",Balfour Pacific,,,
100,3143,1 S Wacker Dr,One South Wacker,200,Chicago,Illinois,60606,Chicago,CBD,West Loop,Wacker West,Office,Office,Office,,A,,Existing,Sublet,For Lease,,Full Build-Out,Trophy,2nd,Yes,No,No,No,Yes,,"21,000","21,000",$26.54,$30.54,,,,"21,000","36,951",,,,,10-2-2018,,,,,30 Days,,,,Yes,,Serendipity Labs,,,"1,195,170",601W Companies,,,
133,27976,1 Tower Ln,Oakbrook Terrace Tower,380,Oakbrook Terrace,Illinois,60181,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,For Lease,,Full Build-Out,,3rd,Yes,Yes,No,No,No,,"2,121","2,121",$29.37,$30.37,Full Service Gross,,"2,121","2,121","21,899",,,,,8-2-2019,,,,,Vacant,,,,Yes,,Newmark Knight Frank,,,"792,192",Blackstone Group,,,
161,27978,1 Westbrook Corporate Ctr,Westbrook Tower I,330,Westchester,Illinois,60154,Chicago,Suburban,Eastern East-West,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Full Build-Out,,3rd,Yes,Yes,No,No,No,,"1,897","1,897",$27.00,$30.00,N,,"1,897","1,897","22,674",$17.50,,,,7-27-2017,,,,,Vacant,,,,Yes,,,,,"229,048",Blackstone Group,,,
